Datetime,Eyre Peninsula to The North,Upper North to The North,Mid North to The North
2047-01-01 00:00:00,0.0371474442577,0.2857970807167671,-0.5689620033238159
2047-01-01 00:30:00,0.0345278021351,0.16473871077032143,-0.13098616346727665
2047-01-01 01:00:00,0.052423217311721476,0.12115154571840883,-0.0304944168311303
2047-01-01 01:30:00,0.02814648879699999,-0.0023793491689199087,0.11066171251091994
2047-01-01 02:00:00,0.02142366331010004,-0.002301627201150014,-0.2731488766112987
2047-01-01 02:30:00,0.03986569184137989,0.3875236243215914,-0.2906608528019713
2047-01-01 03:00:00,0.0341843421914797,-0.0021838932564599567,-0.2862305112583684
2047-01-01 03:30:00,0.025428363179699986,-0.002140276939569974,-0.12272910768887324
2047-01-01 04:00:00,0.048111607314740734,0.1964404285586177,-0.09540148779335844
2047-01-01 04:30:00,0.03236760638666325,0.3472989808849375,-0.34352454879508243
2047-01-01 05:00:00,0.0280231891825,0.14936694077202806,-0.013558774717527866
2047-01-01 05:30:00,0.04351202406347976,-0.0021188914918899293,-0.27668649351534236
2047-01-01 06:00:00,-0.004381151601779791,0.03307083964280011,-0.20371907190602043
2047-01-01 06:30:00,-0.4882838099648798,0.189079476279,0.34693537264822844
2047-01-01 07:00:00,-0.484952495335,-0.08477967181542145,-0.00934439678120269
2047-01-01 07:30:00,-0.4889636673269545,-0.1698376683350522,-1.010479389509714
2047-01-01 08:00:00,-0.5456,-0.14255480188105207,-0.9151187228908465
2047-01-01 08:30:00,-0.5456,0.18680642545534842,-1.6434
2047-01-01 09:00:00,-0.450315174585,0.642990275269,-1.6434
2047-01-01 09:30:00,-0.5456,-0.32101028329000014,-1.6434
2047-01-01 10:00:00,-0.438231375851,0.643534852555,-1.6434
2047-01-01 10:30:00,-0.5456,0.643651443438,-1.6434
2047-01-01 11:00:00,-0.436270279748,0.643669159439,-1.6434
2047-01-01 11:30:00,-0.5456,-0.33227328651,-1.6434
2047-01-01 12:00:00,-0.434642271,0.64357660024,-1.6434
2047-01-01 12:30:00,-0.429324667582,0.643593798089,-1.6434
2047-01-01 13:00:00,-0.5456,0.643586183859,-1.6434
2047-01-01 13:30:00,-0.5456,0.64356478454,-1.6434
2047-01-01 14:00:00,-0.5456,0.643558776396,-1.6434
2047-01-01 14:30:00,-0.5456,0.643606662803,-1.6434
2047-01-01 15:00:00,-0.5456,0.643465748893,-1.6434
2047-01-01 15:30:00,-0.5456,0.643221620208,-1.6434
2047-01-01 16:00:00,-0.5456,0.642721065262,-1.6434
2047-01-01 16:30:00,-0.5456,-0.3030569624199999,-1.6434
2047-01-01 17:00:00,-0.5456,-1.4905,-0.42221414734999985
2047-01-01 17:30:00,-0.5456,-1.4905,-0.3448667915200002
2047-01-01 18:00:00,-0.5456,0.25031461898999996,-1.6434
2047-01-01 18:30:00,-0.5456,0.268767366971,1.0895796988811293
2047-01-01 19:00:00,-0.5456,0.0834594024893,0.6167557546497
2047-01-01 19:30:00,-0.3791087156225505,0.0102663657649,0.3738895501432205
2047-01-01 20:00:00,0.05082059513260001,-0.0028476162168999952,0.012834152175399849
2047-01-01 20:30:00,-0.01964948392827015,-0.002865862816330056,0.1064391480264002
2047-01-01 21:00:00,0.05591585791800002,-0.0028088787342399613,0.029173435355340116
2047-01-01 21:30:00,0.05569540697974647,0.01819974108813834,0.01869500357851539
2047-01-01 22:00:00,0.0796342099224798,-0.0026398947380299465,0.023089019716550113
2047-01-01 22:30:00,0.08039901828837981,-0.002576275158880037,0.03689365259650024
2047-01-01 23:00:00,0.0734313981241,-0.0025419146517100533,-0.19328984611490002
2047-01-01 23:30:00,0.06654087400390002,-0.002819374586040091,0.08310930562714014
2047-01-02 00:00:00,0.0792397182495,-0.0027050946216999883,0.03428388545087546
2047-01-02 00:30:00,0.0779683399854,-0.002606316288999988,-0.13640804930603845
2047-01-02 01:00:00,0.08628214537879997,-0.0024736876636000105,-0.20200462617820014
2047-01-02 01:30:00,0.09265958000660002,-0.0023746489600999787,0.024068997172499995
2047-01-02 02:00:00,0.092535047142,0.13424550455299977,-0.10252140364799978
2047-01-02 02:30:00,0.108665884086,0.23544601024500011,-0.2146891514980001
2047-01-02 03:00:00,0.110712450226,-0.002208224489729904,0.026544137683729832
2047-01-02 03:30:00,0.11528421222517979,-0.002192260071210095,0.030267678870030235
2047-01-02 04:00:00,0.113613260302,-0.0021747992435900976,0.03748988809759016
2047-01-02 04:30:00,0.100647764983,-0.0021833973265699136,-0.09494781279999964
2047-01-02 05:00:00,0.0903791398975,-0.0022283095594899383,0.08245948131099001
2047-01-02 05:30:00,0.08927953000220001,0.2695264950155236,-0.1790886326667236
2047-01-02 06:00:00,0.06902128538462021,0.0311061754933,-0.14146248014847584
2047-01-02 06:30:00,-0.4301377246088798,0.179207579032,0.0961141419742284
2047-01-02 07:00:00,-0.4520159588848798,-0.09057072262642141,-0.12239602157394414
2047-01-02 07:30:00,-0.5456,0.2018425332105786,-1.6434
2047-01-02 08:00:00,-0.5456,-0.16824846802999982,-1.6434
2047-01-02 08:30:00,-0.5456,-1.4905,-0.3280267358700003
2047-01-02 09:00:00,-0.5456,-0.33218439922,-1.6434
2047-01-02 09:30:00,-0.429703853652,0.642975971215,-1.6434
2047-01-02 10:00:00,-0.5456,0.643153753877,-1.6434
2047-01-02 10:30:00,-0.5456,0.643269787725,-1.6434
2047-01-02 11:00:00,-0.5456,0.64314812815,-1.6434
2047-01-02 11:30:00,-0.43314917112,0.643215723109,0.621291714071
2047-01-02 12:00:00,-0.5456,-1.4905,-0.4390903124100002
