Datetime,Adelaide Metro to Mid North,The North to Mid North,Riverland to Mid North,South East to Mid North,PEC to Mid North
2045-01-01 00:00:00,-1.0727237185119374,0.5324353071811581,0.01433859735021309,0.13256290734151666,0.0
2045-01-01 00:30:00,-1.0806712983821831,0.7237549337309044,-0.134582171567,0.2527119438522789,0.0
2045-01-01 01:00:00,-0.9901484463089174,0.5051547886785174,0.3509,-0.09106201327559993,0.0
2045-01-01 01:30:00,-1.1230834514100003,0.42049181787458556,0.3509,-0.09674641131960005,0.0
2045-01-01 02:00:00,-0.9984702368188553,0.26935918511564005,0.3509,-0.09677886654479995,0.0
2045-01-01 02:30:00,-0.988565913327426,0.7931522343226519,-0.119417427657,0.11562767823077408,0.0
2045-01-01 03:00:00,-0.8250429011130784,0.3441974051890786,0.3509,-0.11074868075600008,0.0
2045-01-01 03:30:00,-1.0477123782,0.37327682198378875,0.1722910974636414,-0.12478278654899988,0.0
2045-01-01 04:00:00,-1.0392377426700001,0.5175373157819636,-0.020973002860942058,0.23353711141897876,0.0
2045-01-01 04:30:00,-0.9474822148865334,0.4445729322669094,-0.03199606606358546,-0.13763559871800002,0.0
2045-01-01 05:00:00,-0.6548743857289603,0.4705157604206564,-0.11626052915399998,-0.016050213383695222,0.0
2045-01-01 05:30:00,-1.0402138720999998,0.7832638731951174,-0.042476618856627624,-0.033054039066490015,0.0
2045-01-01 06:00:00,-0.967637041436,0.654302799475,0.110522419846,-0.10289554511799981,0.0
2045-01-01 06:30:00,-1.1137275924229213,-0.1529768334089896,0.11679272116139994,0.29108124794252593,0.8
2045-01-01 07:00:00,-1.0226646792601057,-0.3001882785917598,0.2040918650399855,0.31616874060275624,0.8
2045-01-01 07:30:00,-1.1176599720987188,0.39086444235667583,0.3509,0.010380860789942326,0.8
2045-01-01 08:00:00,-3.2048376092373716,1.6434,0.3509,0.3454105721381007,0.8
2045-01-01 08:30:00,0.124742978569,1.6434,0.3509,0.8387215346729999,0.8
2045-01-01 09:00:00,-2.8014690110501466,0.30299647586914724,0.3509,0.89898790666,0.8
2045-01-01 09:30:00,-0.9598396218490004,-1.6434,0.3509,0.957044867011,0.8
2045-01-01 10:00:00,-1.9566184577899999,1.6434,0.3509,-1.3596,0.8
2045-01-01 10:30:00,-1.9658822804090001,1.6434,0.3509,-1.3596,0.8
2045-01-01 11:00:00,-4.3103538787439994,1.6434,0.3509,1.001192843114,0.8
2045-01-01 11:30:00,0.708533284945,1.6434,0.3509,-1.3596,0.8
2045-01-01 12:00:00,-1.9372791914670002,1.6434,0.3509,-1.3596,0.8
2045-01-01 12:30:00,-4.296577781832,1.6434,0.3509,1.003017082416,0.8
2045-01-01 13:00:00,0.687727190013,1.6434,0.3509,-1.3596,0.8
2045-01-01 13:30:00,-1.927353403518,1.6434,0.3509,-1.3596,0.8
2045-01-01 14:00:00,-4.298240704597001,1.6434,0.3509,1.005387611164,0.8
2045-01-01 14:30:00,0.680178412671,1.6434,0.3509,1.009989955434,0.8
2045-01-01 15:00:00,-1.9407487575110003,1.6434,0.3509,-1.3596,0.8
2045-01-01 15:30:00,-4.329178844526,1.6434,0.3509,1.014583021851,0.8
2045-01-01 16:00:00,0.40993546848,1.6434,0.3509,-1.3596,0.8
2045-01-01 16:30:00,-1.8405163380330003,1.6434,0.3509,-1.3596,0.8
2045-01-01 17:00:00,-0.15479723139300017,1.6434,0.3509,-1.3596,0.8
2045-01-01 17:30:00,-3.2774682398760002,1.6434,0.3509,0.891900623993,0.0
2045-01-01 18:00:00,-0.778808039653,-0.7481668084149998,0.3509,0.7984032902779999,0.0
2045-01-01 18:30:00,-1.04208129569,-0.38488881122840835,0.3509,0.6900277811334081,0.0
2045-01-01 19:00:00,-0.9767861398217104,-0.33708729564177875,0.3509,0.321108061595474,0.0
2045-01-01 19:30:00,-1.076952485494706,0.6046231871339474,-0.127760951747,0.14279923745875878,0.0
2045-01-01 20:00:00,-1.25120527144,0.5783644983396872,-0.140257468754,0.2762961774763124,0.0
2045-01-01 20:30:00,-1.143318312486337,0.3085423476475999,0.12747831103913732,0.0683923173396,0.0
2045-01-01 21:00:00,-1.1353680691321832,0.33595457434935994,0.13723059176892294,0.04915190757889998,0.0
2045-01-01 21:30:00,-1.24584532081,0.5323699620398978,0.04700873920350257,0.0345595282096,0.0
2045-01-01 22:00:00,-1.154053616009654,0.33748367082768005,-0.137477755422,0.24169068900197405,0.0
2045-01-01 22:30:00,-1.20689028308,0.3227699338813099,0.05925688129436013,-0.0011702443606700363,0.0
2045-01-01 23:00:00,-1.20064451444,0.5083722531345998,-0.134589714664,-0.03340354179060001,0.0
2045-01-01 23:30:00,-1.287515040104232,0.48443934638997743,-0.14646861379,-0.06732216829830007,0.0
2045-01-02 00:00:00,-1.26045635277,0.2202846289670899,0.1385253455237101,-0.0440019390688,0.0
2045-01-02 00:30:00,-1.2299953130999999,0.19058506036310985,-0.017025222842725146,-0.0292994940434,0.0
2045-01-02 01:00:00,-1.16174432851,0.20913495537434,-0.130229085966,-0.0255820817147,0.0
2045-01-02 01:30:00,-1.11350022367,0.24050708356894857,-0.07973952584364874,-0.014924302580300086,0.0
2045-01-02 02:00:00,-1.07220173137,0.24506069867760005,-0.120191549915,-0.0330115866446,0.0
2045-01-02 02:30:00,-1.0334153223899998,0.21275418731350998,-0.0911929019759104,-0.01898460708159999,0.0
2045-01-02 03:00:00,-1.0141545867600001,-0.4998996890342737,0.3509,0.1973898102242741,0.0
