Datetime,Eyre Peninsula to The North,Upper North to The North,Mid North to The North
2045-01-01 00:00:00,0.117873718688,0.24984960426817515,-0.48735276164617514
2045-01-01 00:30:00,0.12367027175200002,0.15419777827697081,-0.4353806882928348
2045-01-01 01:00:00,0.140318076708,-0.0023225396585599967,-0.4416696885887377
2045-01-01 01:30:00,0.144416936853,0.25001797261157516,-0.6572312891654575
2045-01-01 02:00:00,0.151520617329,-0.0021877326943600117,-0.3579142043640142
2045-01-01 02:30:00,0.159782969623,0.1184370984588374,-0.5255669984836273
2045-01-01 03:00:00,0.169537913084,0.20013585272471746,-0.46365509505001756
2045-01-01 03:30:00,0.186889216757,-0.0021049362561900153,-0.7806984199866012
2045-01-01 04:00:00,0.23571809398834428,-0.0020879100494199943,-0.4337308737652079
2045-01-01 04:30:00,0.18851949293299997,0.05319948223989656,-0.5013548585935018
2045-01-01 05:00:00,0.26854801126600003,-0.0020836834274400307,-0.4720765775523438
2045-01-01 05:30:00,0.19055181087100004,0.25151433157623554,-0.5397441568690355
2045-01-01 06:00:00,0.19936459283999997,0.057338601337000306,-0.6766236082000001
2045-01-01 06:30:00,-0.382489094063,-0.09531508549016521,0.2178417355787372
2045-01-01 07:00:00,-0.46532082299633043,0.0040038808658348635,0.17279813464335048
2045-01-01 07:30:00,-0.5456,-0.11645118515746833,-0.3907217467920574
2045-01-01 08:00:00,-0.5456,0.16676704385445582,-1.6434
2045-01-01 08:30:00,-0.5456,0.623508483972,-1.6434
2045-01-01 09:00:00,-0.5456,-1.4905,-0.32173498206999995
2045-01-01 09:30:00,-0.5456,-1.4905,1.6434
2045-01-01 10:00:00,-0.5456,-0.22664460751999993,-1.6434
2045-01-01 10:30:00,-0.5456,0.643536043583,-1.6434
2045-01-01 11:00:00,-0.5456,0.643545352185,-1.6434
2045-01-01 11:30:00,-0.5456,0.643542629156,-1.6434
2045-01-01 12:00:00,-0.5456,0.643515668096,-1.6434
2045-01-01 12:30:00,-0.5456,0.643520928188,-1.6434
2045-01-01 13:00:00,-0.5456,0.642442345097,-1.6434
2045-01-01 13:30:00,-0.5456,0.643513209823,-1.6434
2045-01-01 14:00:00,-0.5456,0.643501110219,-1.6434
2045-01-01 14:30:00,-0.5456,0.643486432096,-1.6434
2045-01-01 15:00:00,-0.5456,0.642960912461,-1.6434
2045-01-01 15:30:00,-0.5456,0.624721703208,-1.6434
2045-01-01 16:00:00,-0.5456,0.62510858374,-1.6434
2045-01-01 16:30:00,-0.5456,0.608160908073,-1.6434
2045-01-01 17:00:00,-0.5456,0.528880691853,-1.6434
2045-01-01 17:30:00,-0.5456,0.17788693684000012,-1.6434
2045-01-01 18:00:00,-0.5456,0.320028227758,0.6969617914175305
2045-01-01 18:30:00,-0.5456,0.17181014587,0.018958114902000167
2045-01-01 19:00:00,-0.404361993936,0.0707199286222,0.18707661678448595
2045-01-01 19:30:00,0.13962737527000002,0.00681269086087,-0.34281445474687
2045-01-01 20:00:00,0.148131016495,-0.002513769422390011,-0.33882104841311356
2045-01-01 20:30:00,0.15676772123799998,-0.0025452736383999586,-0.3085423476475999
2045-01-01 21:00:00,0.16665599473500003,0.1180554177042174,-0.45653193586021756
2045-01-01 21:30:00,0.1761133009,-0.0025030008616200305,-0.5857216527192899
2045-01-01 22:00:00,0.184480704118,-0.002463949912320018,-0.40338539675793794
2045-01-01 22:30:00,0.18947699344500002,0.19212199629467008,-0.5173166673146701
2045-01-01 23:00:00,0.191908727991,-0.0024121889001400554,-0.2905172647068601
2045-01-01 23:30:00,0.178508500099,-0.002625088887999949,-0.22263061400289996
2045-01-02 00:00:00,0.186188918245,-0.0025323555696099564,-0.2202846289670899
2045-01-02 00:30:00,0.18020209055799996,0.24980317830487514,-0.44285939562227483
2045-01-02 01:00:00,0.189290807104,0.17450648833860005,-0.38597547909170005
2045-01-02 01:30:00,0.18276521182899996,-0.002237109192209985,-0.2855885814162997
2045-01-02 02:00:00,0.193452547635,-0.0021541372854501084,-0.21498759160194994
2045-01-02 02:30:00,0.190785095503,-0.00207621235088995,-0.21275418731350998
2045-01-02 03:00:00,-0.390482509906,0.25023681923524516,0.5844313846616074
2045-01-02 03:30:00,-0.289955323771,0.13472789457193743,0.7116072650630624
2045-01-02 04:00:00,-0.399619917905,0.1185744257670674,0.5366271273989434
2045-01-02 04:30:00,-0.379357271457,0.2516039363047556,0.4241063423072253
2045-01-02 05:00:00,-0.31495663499,-0.0019988309163399,0.8780837080413402
2045-01-02 05:30:00,-0.395274003373,0.25162743011493555,0.5868403469751806
2045-01-02 06:00:00,-0.3488959776044843,0.0253351971683,0.5688266139041843
2045-01-02 06:30:00,-0.40403568051,-0.010959472742381404,0.09159437494236355
2045-01-02 07:00:00,-0.492501024464,-0.25166593522217195,0.35556798452551597
2045-01-02 07:30:00,-0.5456,-0.26943365048746815,0.39314982094794226
2045-01-02 08:00:00,-0.5456,-0.23148968052946817,-0.7381300312060568
2045-01-02 08:30:00,-0.5456,-1.4905,-0.4113458162100002
2045-01-02 09:00:00,-0.5456,-1.4905,-0.4653858942800001
2045-01-02 09:30:00,-0.5456,-0.3618722642500001,-1.6434
2045-01-02 10:00:00,-0.5456,0.51636018448,-1.6434
2045-01-02 10:30:00,-0.5456,-0.4183283109699998,-1.6434
2045-01-02 11:00:00,-0.391198220285,0.519853790393,-1.6434
2045-01-02 11:30:00,-0.5456,0.539182220484,-1.6434
2045-01-02 12:00:00,-0.5456,0.536833807324,-1.6434
2045-01-02 12:30:00,-0.5456,0.527528967707,-1.6434
