Datetime,Adelaide Metro to Mid North,The North to Mid North,Riverland to Mid North,South East to Mid North,PEC to Mid North
2047-01-01 00:00:00,-1.3503231421399997,0.5689620033238159,0.3509,-0.06462082328714303,0.0
2047-01-01 00:30:00,-1.1306512441021521,0.13098616346727665,0.3509,0.6332401401600756,0.0
2047-01-01 01:00:00,-0.919895928715385,0.0304944168311303,0.12519607457455237,0.3815104175970756,0.0
2047-01-01 01:30:00,-0.7624318396883578,-0.11066171251091994,0.3509,0.5830829369838777,0.0
2047-01-01 02:00:00,-1.14561346054,0.2731488766112987,0.3509,0.6151521268758846,0.0
2047-01-01 02:30:00,-0.9178222796999709,0.2906608528019713,0.3509,0.44289255571999997,0.0
2047-01-01 03:00:00,-0.923145221125151,0.2862305112583684,0.3509,0.442666726044,0.0
2047-01-01 03:30:00,-1.06530287356,0.12272910768887324,0.3509,0.43059332083199997,0.0
2047-01-01 04:00:00,-0.635936743008358,0.09540148779335844,0.3509,0.436740057439,0.0
2047-01-01 04:30:00,-0.9294835630529104,0.34352454879508243,0.17182478937504517,0.5895782762176333,0.0
2047-01-01 05:00:00,-0.8357370316982315,0.013558774717527866,0.10155439342,0.7870673782953099,0.0
2047-01-01 05:30:00,-0.9016261983329974,0.27668649351534236,0.28179046813499997,0.45275577641700004,0.0
2047-01-01 06:00:00,-1.407628347161642,0.20371907190602043,0.2589171210816217,0.469748058856,0.8
2047-01-01 06:30:00,-0.9919518379427714,-0.34693537264822844,0.3509,0.487308897062,0.8
2047-01-01 07:00:00,-0.6742936339980004,0.00934439678120269,0.3509,0.14538246881392441,0.8
2047-01-01 07:30:00,-1.1874235699732592,1.010479389509714,0.3509,-0.11282450812710276,0.8
2047-01-01 08:00:00,-1.155512443582112,0.9151187228908465,0.3509,-0.0593911467511028,0.8
2047-01-01 08:30:00,-0.22295856666064215,1.6434,0.3509,-1.3596,0.8
2047-01-01 09:00:00,-1.6400781509100004,1.6434,0.3509,-1.3596,0.8
2047-01-01 09:30:00,-1.72388539086,1.6434,0.3509,-1.3596,0.8
2047-01-01 10:00:00,-1.7691604068060003,1.6434,0.3509,-1.3596,0.8
2047-01-01 10:30:00,-1.8284434099090006,1.6434,0.3509,-1.3596,0.8
2047-01-01 11:00:00,0.766072761355,1.6434,0.3509,1.069087018269,0.8
2047-01-01 11:30:00,-4.422403037462001,1.6434,0.3509,1.0672317086629999,0.8
2047-01-01 12:00:00,-2.1341653985240003,1.6434,0.3509,-1.3596,0.8
2047-01-01 12:30:00,0.7285623526869998,1.6434,0.3509,-1.3596,0.8
2047-01-01 13:00:00,-2.55490636317,1.6434,0.3509,-1.3596,0.8
2047-01-01 13:30:00,0.714121129069,1.6434,0.3509,1.1948153074580001,0.8
2047-01-01 14:00:00,-3.0709377243,1.6434,0.3509,-1.3596,0.8
2047-01-01 14:30:00,-4.8675,1.6434,0.3509,1.223575473218,0.8
2047-01-01 15:00:00,-4.8675,1.6434,0.3509,1.254128997701,0.8
2047-01-01 15:30:00,-4.8675,1.6434,0.3509,1.282239002427,0.8
2047-01-01 16:00:00,-3.80912591801,1.6434,0.3509,-1.3596,0.8
2047-01-01 16:30:00,-3.8410966102199997,1.6434,0.3509,-1.3596,0.8
2047-01-01 17:00:00,-0.3366670513979999,0.42221414734999985,0.3509,-1.3596,0.8
2047-01-01 17:30:00,-4.256921000573142,0.3448667915200002,0.3509,1.0485073623241414,0.358053730349
2047-01-01 18:00:00,-4.675843345187,1.6434,0.3509,0.911659834547,0.0
2047-01-01 18:30:00,-1.3977908621101873,-1.0895796988811293,0.3509,0.7180217634213166,0.0
2047-01-01 19:00:00,-1.35844401088,-0.6167557546497,0.2624504998157,0.6951834577964999,0.0
2047-01-01 19:30:00,-1.4458165357103794,-0.3738895501432205,0.070424338255,0.6194729661785999,0.0
2047-01-01 20:00:00,-1.6709685301130401,-0.012834152175399849,0.061115323065000005,0.6096496255934399,0.0
2047-01-01 20:30:00,-1.42645647253,-0.1064391480264002,0.060097241682000035,0.5802437093914,0.0
2047-01-01 21:00:00,-1.3802385142566598,-0.029173435355340116,0.063276707166,0.568687213464,0.0
2047-01-01 21:30:00,-1.2997406200992847,-0.01869500357851539,0.06816961491199999,0.5537087169518,0.0
2047-01-01 22:00:00,-1.1810303966784494,-0.023089019716550113,0.072705283772,0.5678698331059999,0.0
2047-01-01 22:30:00,-1.2823169184700003,-0.03689365259650024,0.07625498131200001,0.5669683698171,0.0
2047-01-01 23:00:00,-1.26521429668,0.19328984611490002,0.078172149099,0.5662448490491,0.0
2047-01-01 23:30:00,-1.2417171590978868,-0.08310930562714014,0.06269108400100001,0.5281977075299,0.0
2047-01-02 00:00:00,-1.34643560394,-0.03428388545087546,0.06906741207,0.9439028909798755,0.0
2047-01-02 00:30:00,-1.29726961064,0.13640804930603845,0.19771340901276124,0.5288472941622,0.0
2047-01-02 01:00:00,-1.23125495005,0.20200462617820014,0.08197892014499997,0.5075407243137999,0.0
2047-01-02 01:30:00,-1.18195935961,-0.024068997172499995,0.087504851735,0.6640061962095,0.0
2047-01-02 02:00:00,-1.1467502663099998,0.10252140364799978,0.09145171674300001,0.479280901446,0.0
2047-01-02 02:30:00,-1.1221460103,0.2146891514980001,0.094209801885,0.45082047054499996,0.0
2047-01-02 03:00:00,-1.09912313256,-0.026544137683729832,0.33939704972372975,0.46543588142,0.0
2047-01-02 03:30:00,-0.8702978623879697,-0.030267678870030235,0.09768136341400002,0.451572176376,0.0
